Date,Open,High,Low,Close,Volume,Fib_23.6,Fib_38.2,Fib_61.8,ROC,CCI,MFI,Williams_R,Keltner_hband,Keltner_lband,Keltner_mband,Donchian_hband,Donchian_lband,Donchian_mband,VWAP,CMF,Force_Index,Ultimate_Oscillator,ROC_10,ROC_20,PVT,NVI,PVI,Typical_Price,Mass_Index,Vortex_Pos,Vortex_Neg,Vortex_Diff,KST,KST_Signal,KST_Diff,DPO,STC,Coppock_Curve,PPO,PPO_Signal,PPO_Hist,PVO,PVO_Signal,PVO_Hist,NATR,CMO,EOM,VPT,Fisher,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_A,Ichimoku_B,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_10,Volume_Lag_10,Pct_Change_1,Pct_Change_2,Pct_Change_3,Pct_Change_5,Pct_Change_10,Pct_Change_20,Volatility_10,Volatility_20,Volatility_50,Momentum_5,Momentum_10,Momentum_20,TR,ADX,DMP,DMN,Parabolic_SAR,TRIX,Average Sentiment,Nifty_Close
2020-04-01,138.6027385713095,138.6027385713095,131.4706136588489,133.615234375,1997603,,,,,,,,141.6949871141801,127.43073728925886,,,,,134.56286220171947,,,,,,,1000.0,1000.0,134.56286220171947,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,135.0366761150792,,,,,,,,,,,,,,,,,,,,,,,7.132124912460597,0.0,0.0,0.0,133.615234375,,0.2728,8253.7998046875
2020-04-03,133.66510381829164,134.26361037141123,127.68009916971144,128.72747802734375,1761897,,,,,,,,139.25111375268435,125.53547763852391,,,,,132.52931906118212,,,,,,-64451.65692332008,963.41916870094,1000.0,130.2237291894888,,,,,,,,,,,,,,-0.2820087007904321,-0.1566715004391289,-0.1253372003513032,0.0,,-1518.8627288962862,-64451.65692332008,,,,,133.14141887051045,133.615234375,1997603.0,,,,,,,,,-0.03658083129906,,,,,,,,,,,,6.583511201699807,0.0,0.0,0.0,128.72747802734375,,0.2728,8083.7998046875
2020-04-07,130.67257950751718,141.14633588025708,130.67257950751718,137.80470275878906,2463474,,,,,,,,141.83906330898768,125.71280165105414,,,,,134.11749527484923,,,,,,109260.3388428253,963.41916870094,1070.515051413632,136.54120604885443,,,,,,,,,,,,,,0.7197233969211342,0.2025067361839296,0.5172166607372045,0.0,,2099.2813435109447,109260.3388428253,,,,,134.41321752498425,128.72747802734375,1761897.0,133.615234375,1997603.0,,,,,,,0.0705150514136319,0.0313547209147651,,,,,,,,,,,12.418857852913334,0.0,0.0,0.0,127.68009916971144,,0.2728,8792.2001953125
2020-04-08,136.50797642411575,146.78222142303605,134.562837889136,137.75485229492188,3237290,,,,,,,,144.35913599914028,126.15474798874008,,,,,136.0278110268402,,,,,,108089.25828503704,963.41916870094,1070.1277956028982,139.699970535698,,,,,,,,,,,,,,2.151896770019076,0.8628692137703612,1.2890275562487146,0.0,,1797.8557097348128,108089.25828503704,,,,,137.23116029637373,137.80470275878906,2463474.0,128.72747802734375,1761897.0,133.615234375,1997603.0,,,,,-0.0003617471890958,0.070127795602898,0.0309816312435133,,,,,,,,,,12.219383533900045,0.0,0.0,0.0,127.68009916971144,,0.2728,8748.75
2020-04-09,139.6500900905919,145.88446911249332,139.6500900905919,142.09396362304688,2359428,,,,,,,,145.2427527921013,128.18549077502058,,,,,137.32833087141563,,,,,,182408.38818963725,993.7657079262384,1070.1277956028982,142.54284094204402,,,,,,,,,,,,,,1.4935671162358628,1.0504875807579568,0.443079535477906,0.0,,553.5013196454254,182408.38818963725,,,,,137.23116029637373,137.75485229492188,3237290.0,137.80470275878906,2463474.0,128.72747802734375,1761897.0,,,,,0.0314987911920177,0.0311256494037481,0.1038355275853681,,,,,,,,,,8.129616817571446,0.0,0.0,0.0,128.8262265049109,,0.2728,9111.900390625
2020-04-13,141.64508370177387,148.62758782791764,136.20870853340642,145.6350860595703,2204560,,,,,,,,147.02051734366376,128.6665058979261,,,,,138.29699466686898,,,,,,237348.2088520536,1018.53133452471,1070.1277956028982,143.4904608069648,,,,,,,,,,,,,,0.8002201533662299,0.9826511933350106,-0.1824310399687807,0.0,,-196.6751176578155,237348.2088520536,,,,,138.15384349881452,142.09396362304688,2359428.0,137.75485229492188,3237290.0,137.80470275878906,2463474.0,133.615234375,1997603.0,,,0.0249209913372356,0.0572047636316832,0.0568223227801405,0.0899586917674057,,,,,,12.019851684570312,,,12.418879294511214,0.0,0.0,0.0,129.9035861999984,,0.2728,8993.849609375
2020-04-15,147.6799831819671,150.57272915314346,142.8420986494742,144.88697814941406,3413325,,,,,,,,147.9934766499518,130.05271526684254,,,,,139.82451468560683,,,,,,219814.4159898749,1018.53133452471,1064.6306926009397,146.10060198401058,,,,,,,,,,,,,,2.4528788360119647,1.354726587592107,1.0981522484198576,0.0,,971.4494933349456,219814.4159898749,,,,,139.12641416142745,145.6350860595703,2204560.0,142.09396362304688,2359428.0,137.75485229492188,3237290.0,128.72747802734375,1761897.0,,,-0.0051368659187679,0.0196561096274054,0.0517740445122243,0.1255326397262113,,,,,,16.159500122070312,,,7.730630503669261,0.0,0.0,0.0,131.40150633023194,,0.2728,8925.2998046875
2020-04-16,141.64512508320192,144.48800868193686,140.19875185007498,142.94187927246094,2685695,,,,,,,,147.84830916454356,131.07782874635754,,,,,140.18731353650924,,,,,,183759.1238230974,1004.8576132543104,1064.6306926009397,142.54287993482424,,,,,,,,,,,,,,2.182625619012516,1.5536862934871678,0.6289393255253479,0.0,,-696.9689813883557,183759.1238230974,,,,,139.12641416142745,144.88697814941406,3413325.0,145.6350860595703,2204560.0,142.09396362304688,2359428.0,137.80470275878906,2463474.0,,,-0.0134249392305445,-0.0184928430365176,0.005967288319604,0.0372786734474794,,,,,,5.137176513671875,,,4.688226299339078,0.0,0.0,0.0,133.3186286125231,,0.2728,8992.7998046875
2020-04-17,146.5827244088604,148.17873161263552,141.19622673226166,143.54034423828125,2383979,,,,,,,,148.23045322864243,131.77169177239398,,,,,140.62347157767533,,,,,,193740.29881543023,1009.0647223271122,1064.6306926009397,144.3051008610595,,,,,,,,,,,,,,1.4093676211865227,1.5203479642170934,-0.1109803430305707,0.0,,686.5698923654502,193740.29881543023,0.9577352259203568,139.12641416142745,,,139.12641416142745,142.94187927246094,2685695.0,144.88697814941406,3413325.0,145.6350860595703,2204560.0,137.75485229492188,3237290.0,,,0.0041867713567664,-0.0092943750248148,-0.0143834969852816,0.0419984621011615,,,,,,5.785491943359375,,,6.9825048803738525,0.0,0.0,0.0,135.04403866658512,,0.2728,9266.75
2020-04-20,145.63509608928774,155.0614742646352,142.24359993985286,146.33334350585938,6835058,,,,,,,,149.477142595268,132.10068241968793,,,,,142.31369942005094,,,,,,326736.44069567765,1009.0647223271122,1085.3462117147817,147.8794725701158,,,,,,,,,,,,,,7.984306247000779,2.9686498518239985,5.01565639517678,0.0,,743.5725378570236,326736.44069567765,1.5538692707315458,141.3707867171733,,,141.3707867171733,143.54034423828125,2383979.0,142.94187927246094,2685695.0,144.88697814941406,3413325.0,142.09396362304688,2359428.0,,,0.0194579390372762,0.0237261763358658,0.009982714629839,0.0298350455903877,,,,,,4.2393798828125,,,12.817874324782338,0.0,0.0,0.0,136.59690771524097,,0.2728,9261.849609375
